qid	sid	weight
0	0	1
0	1	1
0	2	1
0	3	1
0	4	1
1	1	1
1	4	1
1	2	1
1	3	1
2	4	1
2	3	1
2	1	1
2	5	1
2	2	1
2	0	1
3	1	1
3	0	1
3	2	1
3	3	1
3	4	1
4	0	1
4	1	1
4	2	1
4	3	1
4	4	1
5	0	1
5	1	1
5	2	1
5	5	1
5	3	1
5	4	1
6	0	1
6	1	1
6	2	1
6	3	1
6	4	1
7	0	1
7	1	1
7	2	1
7	3	1
7	4	1
8	0	1
8	1	1
8	2	1
8	3	1
8	4	1
9	0	1
9	1	1
9	2	1
9	3	1
9	4	1
10	2	1
10	3	1
10	4	1
10	1	1
10	0	1
11	1	1
11	2	1
11	3	1
11	0	1
11	4	1
12	0	1
12	1	1
12	2	1
12	4	1
12	3	1
13	2	1
13	1	1
13	0	1
13	4	1
13	3	1
14	3	1
14	4	1
14	1	1
14	0	1
14	2	1
15	2	1
15	1	1
15	0	1
15	4	1
15	3	1
16	4	1
16	3	1
16	2	1
16	1	1
16	0	1
17	5	1
17	2	1
17	9	1
17	7	1
17	8	1
17	4	1
17	3	1
17	1	1
17	0	1
17	6	1
18	8	1
18	5	1
18	9	1
18	7	1
18	1	1
18	2	1
18	0	1
18	6	1
18	4	1
18	3	1
19	8	1
19	7	1
19	9	1
19	5	1
19	2	1
19	6	1
19	0	1
19	1	1
19	3	1
19	4	1
20	0	1
20	1	1
20	3	1
20	4	1
20	2	1
20	6	1
20	7	1
20	8	1
20	9	1
20	5	1
21	2	1
21	9	1
21	7	1
21	8	1
21	6	1
21	4	1
21	3	1
21	1	1
21	5	1
21	0	1
22	9	1
22	8	1
22	7	1
22	4	1
22	3	1
22	1	1
22	2	1
22	6	1
22	5	1
22	0	1
23	2	1
23	9	1
23	1	1
23	6	1
23	8	1
23	7	1
23	4	1
23	3	1
23	0	1
24	7	1
24	8	1
24	6	1
24	1	1
24	2	1
24	4	1
24	3	1
24	0	1
24	9	1
24	5	1
25	8	1
25	2	1
25	4	1
