qid	sid	weight
0	0	1
1	1	1
2	2	1
3	3	1
4	4	1
5	4	1
6	5	1
7	6	1
8	7	1
9	8	1
10	9	1
11	10	1
12	11	1
13	12	1
14	13	1
15	3	1
16	14	1
17	15	1
18	16	1
19	17	1
20	18	1
21	4	1
22	11	1
23	18	1
24	17	1
25	19	1
26	20	1
27	21	1
28	22	1
29	9	1
30	23	1
31	24	1
32	2	1
33	10	1
34	25	1
35	19	1
36	2	1
37	26	1
38	27	1
39	25	1
40	13	1
41	22	1
42	4	1
43	28	1
44	2	1
45	29	1
46	30	1
47	31	1
48	32	1
49	16	1
50	33	1
51	22	1
52	34	1
53	4	1
54	35	1
55	4	1
56	36	1
57	22	1
58	37	1
59	38	1
60	17	1
61	13	1
62	37	1
63	26	1
64	17	1
65	33	1
66	17	1
67	3	1
68	17	1
69	4	1
70	10	1
71	4	1
72	12	1
73	39	1
74	23	1
75	35	1
76	40	1
77	34	1
78	6	1
79	19	1
80	40	1
81	25	1
82	41	1
83	27	1
84	42	1
85	43	1
86	12	1
87	27	1
88	4	1
89	4	1
90	44	1
91	12	1
92	2	1
93	32	1
94	32	1
95	9	1
96	40	1
97	6	1
98	12	1
99	4	1
100	11	1
101	29	1
102	4	1
103	41	1
104	4	1
105	42	1
106	28	1
107	4	1
108	45	1
109	9	1
110	18	1
111	2	1
112	40	1
113	46	1
114	47	1
115	13	1
116	48	1
117	27	1
118	14	1
119	12	1
120	40	1
121	13	1
122	49	1
123	4	1
124	35	1
125	7	1
126	12	1
127	7	1
128	13	1
129	40	1
130	40	1
131	40	1
132	50	1
133	51	1
134	52	1
135	35	1
136	17	1
137	53	1
138	42	1
139	54	1
140	2	1
141	55	1
142	7	1
143	4	1
144	12	1
145	30	1
146	56	1
147	4	1
148	57	1
149	58	1
150	12	1
151	12	1
152	12	1
153	57	1
154	59	1
155	7	1
156	12	1
157	4	1
158	2	1
159	58	1
160	53	1
161	52	1
162	4	1
163	40	1
164	12	1
165	60	1
166	19	1
167	5	1
168	5	1
169	61	1
170	55	1
171	62	1
172	10	1
173	19	1
174	16	1
175	14	1
176	30	1
177	38	1
178	61	1
179	10	1
180	44	1
181	63	1
182	13	1
183	63	1
184	63	1
185	55	1
186	38	1
187	1	1
188	4	1
189	7	1
190	30	1
191	8	1
192	34	1
193	6	1
194	25	1
195	29	1
196	23	1
197	6	1
198	64	1
199	11	1
200	65	1
201	4	1
202	65	1
203	11	1
204	65	1
205	24	1
206	11	1
207	19	1
208	23	1
209	28	1
210	38	1
211	3	1
212	11	1
213	35	1
214	35	1
215	34	1
216	66	1
217	36	1
218	31	1
219	44	1
220	52	1
221	2	1
222	40	1
223	0	1
224	19	1
225	13	1
226	62	1
227	12	1
228	67	1
229	68	1
230	13	1
231	1	1
232	1	1
233	4	1
234	65	1
235	7	1
236	25	1
237	10	1
238	62	1
239	19	1
240	19	1
241	6	1
242	68	1
243	4	1
244	14	1
245	16	1
246	10	1
247	2	1
248	19	1
249	19	1
250	11	1
251	4	1
252	18	1
253	19	1
254	69	1
255	19	1
256	19	1
257	65	1
258	18	1
259	1	1
260	3	1
261	4	1
262	39	1
263	52	1
264	70	1
265	6	1
266	52	1
267	1	1
268	19	1
269	53	1
270	12	1
271	46	1
272	22	1
273	4	1
274	45	1
275	71	1
276	72	1
277	11	1
278	73	1
279	52	1
280	14	1
281	63	1
282	74	1
283	4	1
284	69	1
285	19	1
286	1	1
287	1	1
288	19	1
289	31	1
290	75	1
291	0	1
292	6	1
293	16	1
294	76	1
295	77	1
296	3	1
297	60	1
298	35	1
299	78	1
300	3	1
301	69	1
302	27	1
303	4	1
304	79	1
305	0	1
306	52	1
307	19	1
308	16	1
309	0	1
310	78	1
311	78	1
312	4	1
313	19	1
314	16	1
315	4	1
316	4	1
317	4	1
318	70	1
319	80	1
320	1	1
321	2	1
322	4	1
323	78	1
324	42	1
325	13	1
326	19	1
327	19	1
328	11	1
329	11	1
330	62	1
331	1	1
332	55	1
333	54	1
334	52	1
335	70	1
336	19	1
337	70	1
338	81	1
339	52	1
340	4	1
341	56	1
342	78	1
343	42	1
344	78	1
345	19	1
346	60	1
347	68	1
348	8	1
349	2	1
350	11	1
351	82	1
352	4	1
353	6	1
354	83	1
355	12	1
356	84	1
357	85	1
358	86	1
359	11	1
360	87	1
361	4	1
362	54	1
363	75	1
364	24	1
365	52	1
366	49	1
367	19	1
368	35	1
369	43	1
370	88	1
371	40	1
372	4	1
373	84	1
374	2	1
375	68	1
376	68	1
377	89	1
378	68	1
379	90	1
380	68	1
381	40	1
382	2	1
383	91	1
384	65	1
385	64	1
386	45	1
387	92	1
388	6	1
389	16	1
390	93	1
391	13	1
392	94	1
393	79	1
394	4	1
395	95	1
396	93	1
397	96	1
398	32	1
399	90	1
400	38	1
401	97	1
402	15	1
403	25	1
404	60	1
405	25	1
406	98	1
407	93	1
408	99	1
409	100	1
410	90	1
411	4	1
412	74	1
413	1	1
414	63	1
415	26	1
416	92	1
417	67	1
418	41	1
419	0	1
420	54	1
421	4	1
422	60	1
423	101	1
424	40	1
425	11	1
426	68	1
427	102	1
428	31	1
429	82	1
430	30	1
431	6	1
432	103	1
433	47	1
434	34	1
435	35	1
436	12	1
437	6	1
438	16	1
439	24	1
440	61	1
441	34	1
442	4	1
443	104	1
444	3	1
445	102	1
446	19	1
447	103	1
448	18	1
449	105	1
450	82	1
451	35	1
452	6	1
453	35	1
454	30	1
455	35	1
456	106	1
457	60	1
458	60	1
459	14	1
460	0	1
461	18	1
462	41	1
463	4	1
464	101	1
465	79	1
466	60	1
467	60	1
468	4	1
469	36	1
470	74	1
471	75	1
472	82	1
473	35	1
474	6	1
475	13	1
476	76	1
477	76	1
478	106	1
479	65	1
480	3	1
481	71	1
482	55	1
483	54	1
484	19	1
485	19	1
486	12	1
487	52	1
488	60	1
489	6	1
490	81	1
491	4	1
492	84	1
493	19	1
494	11	1
495	1	1
496	34	1
497	12	1
498	93	1
499	4	1
500	12	1
501	82	1
502	12	1
503	32	1
504	77	1
505	55	1
506	0	1
507	60	1
508	35	1
509	14	1
510	6	1
511	4	1
512	35	1
513	76	1
514	40	1
515	16	1
516	6	1
517	41	1
518	36	1
519	74	1
520	12	1
521	39	1
522	14	1
523	11	1
524	78	1
525	10	1
526	82	1
527	19	1
528	16	1
529	16	1
530	1	1
531	34	1
532	18	1
533	90	1
534	4	1
535	60	1
536	40	1
537	34	1
538	103	1
539	70	1
540	13	1
541	69	1
542	4	1
543	25	1
544	29	1
545	56	1
546	56	1
547	107	1
548	108	1
549	23	1
550	82	1
551	12	1
552	109	1
553	6	1
554	6	1
555	4	1
556	93	1
557	78	1
558	41	1
559	50	1
560	60	1
561	6	1
562	6	1
563	14	1
564	4	1
565	85	1
566	52	1
567	18	1
568	69	1
569	60	1
570	96	1
571	6	1
572	6	1
573	83	1
574	54	1
575	102	1
576	19	1
577	75	1
578	83	1
579	52	1
580	4	1
581	48	1
582	6	1
583	35	1
584	79	1
585	12	1
586	12	1
587	53	1
588	72	1
589	39	1
590	35	1
591	69	1
592	6	1
593	54	1
594	43	1
595	81	1
596	35	1
597	2	1
598	32	1
599	68	1
600	79	1
601	6	1
602	23	1
603	19	1
604	30	1
605	79	1
606	75	1
607	35	1
608	42	1
609	13	1
610	79	1
611	60	1
612	96	1
613	41	1
614	96	1
615	53	1
616	19	1
617	4	1
618	4	1
619	25	1
620	23	1
621	100	1
622	4	1
623	52	1
624	32	1
625	101	1
626	110	1
627	84	1
628	60	1
629	78	1
630	78	1
631	16	1
632	42	1
633	19	1
634	34	1
635	78	1
636	111	1
637	11	1
638	19	1
639	1	1
640	4	1
641	93	1
642	52	1
643	112	1
644	70	1
645	70	1
646	113	1
647	62	1
648	69	1
649	22	1
650	31	1
651	19	1
652	1	1
653	93	1
654	36	1
655	4	1
656	70	1
657	70	1
658	4	1
659	16	1
660	1	1
661	19	1
662	16	1
663	18	1
664	53	1
665	78	1
666	70	1
667	19	1
668	4	1
669	4	1
670	69	1
671	1	1
672	1	1
673	2	1
674	88	1
675	12	1
676	4	1
677	114	1
678	70	1
679	37	1
680	6	1
681	27	1
682	75	1
683	96	1
684	115	1
685	78	1
686	60	1
687	22	1
688	33	1
689	43	1
690	116	1
691	6	1
692	102	1
693	103	1
694	19	1
695	37	1
696	117	1
697	4	1
698	52	1
699	19	1
700	103	1
701	4	1
702	52	1
703	19	1
704	65	1
705	4	1
706	30	1
707	60	1
708	52	1
709	19	1
710	44	1
711	59	1
712	52	1
713	4	1
714	34	1
715	118	1
716	0	1
717	6	1
718	34	1
719	62	1
720	78	1
721	4	1
722	1	1
723	0	1
724	27	1
725	119	1
726	42	1
727	54	1
728	85	1
729	60	1
730	55	1
731	98	1
732	120	1
733	3	1
734	22	1
735	103	1
736	19	1
737	34	1
738	98	1
739	6	1
740	103	1
741	3	1
742	22	1
743	46	1
744	98	1
745	46	1
746	3	1
747	39	1
748	22	1
749	35	1
750	22	1
751	103	1
752	103	1
753	93	1
754	4	1
755	16	1
756	102	1
757	88	1
758	42	1
759	39	1
760	16	1
761	1	1
762	55	1
763	19	1
764	6	1
765	22	1
766	1	1
767	42	1
768	19	1
769	19	1
770	34	1
771	70	1
772	13	1
773	34	1
774	55	1
775	13	1
776	111	1
777	42	1
778	22	1
779	78	1
780	53	1
781	1	1
782	19	1
783	69	1
784	35	1
785	45	1
786	4	1
787	27	1
788	121	1
789	46	1
790	121	1
791	52	1
792	6	1
793	6	1
794	1	1
795	4	1
796	46	1
797	68	1
798	1	1
799	38	1
800	62	1
801	32	1
802	1	1
803	62	1
804	54	1
805	6	1
806	19	1
807	22	1
808	19	1
809	34	1
810	6	1
811	19	1
812	38	1
813	54	1
814	19	1
815	18	1
816	27	1
817	3	1
818	35	1
819	4	1
820	70	1
821	16	1
822	85	1
823	46	1
824	52	1
825	26	1
826	85	1
827	85	1
828	122	1
829	55	1
830	68	1
831	21	1
832	78	1
833	52	1
834	4	1
835	19	1
836	19	1
837	52	1
838	4	1
839	4	1
840	48	1
841	37	1
842	35	1
843	6	1
844	19	1
845	47	1
846	46	1
847	54	1
848	44	1
849	12	1
850	30	1
851	26	1
852	54	1
853	1	1
854	6	1
855	77	1
856	14	1
857	116	1
858	40	1
859	85	1
860	52	1
861	19	1
862	13	1
863	116	1
864	60	1
865	46	1
866	52	1
867	19	1
868	1	1
869	6	1
870	35	1
871	26	1
872	68	1
873	63	1
874	70	1
875	30	1
876	49	1
877	19	1
878	1	1
879	35	1
880	63	1
881	30	1
882	52	1
883	67	1
884	49	1
885	0	1
886	103	1
887	103	1
888	20	1
889	6	1
890	5	1
891	5	1
892	56	1
893	45	1
894	31	1
895	22	1
896	19	1
897	31	1
898	66	1
899	6	1
900	2	1
901	8	1
902	5	1
903	78	1
904	54	1
905	2	1
906	3	1
907	6	1
908	13	1
909	0	1
910	6	1
911	117	1
912	103	1
913	35	1
914	13	1
915	8	1
916	2	1
917	34	1
918	52	1
919	22	1
920	6	1
921	38	1
922	20	1
923	13	1
924	121	1
925	60	1
926	6	1
927	12	1
928	6	1
929	4	1
930	102	1
931	10	1
932	0	1
933	34	1
934	1	1
935	68	1
936	19	1
937	3	1
938	19	1
939	13	1
940	1	1
941	4	1
942	71	1
943	52	1
944	34	1
945	11	1
946	32	1
947	34	1
948	123	1
949	124	1
950	2	1
951	65	1
952	50	1
953	35	1
954	103	1
955	34	1
956	18	1
957	78	1
958	4	1
959	34	1
960	16	1
961	2	1
962	16	1
963	125	1
964	102	1
965	16	1
966	126	1
967	25	1
968	2	1
969	124	1
970	34	1
971	31	1
972	2	1
973	16	1
974	50	1
975	19	1
976	34	1
977	87	1
978	16	1
979	7	1
980	32	1
981	52	1
982	35	1
983	62	1
984	3	1
985	13	1
986	61	1
987	31	1
988	49	1
989	52	1
990	32	1
991	103	1
992	52	1
993	12	1
994	103	1
995	4	1
996	4	1
997	34	1
998	57	1
999	2	1
1000	1	1
1001	4	1
1002	52	1
1003	6	1
1004	17	1
1005	41	1
1006	52	1
1007	7	1
1008	49	1
1009	103	1
1010	4	1
1011	4	1
1012	55	1
1013	117	1
1014	6	1
1015	56	1
1016	27	1
1017	103	1
1018	19	1
1019	35	1
1020	80	1
1021	103	1
1022	1	1
1023	6	1
1024	3	1
1025	18	1
1026	30	1
1027	82	1
1028	82	1
1029	22	1
1030	103	1
1031	54	1
1032	1	1
1033	6	1
1034	74	1
1035	68	1
1036	73	1
1037	65	1
1038	73	1
1039	9	1
1040	49	1
1041	17	1
1042	4	1
1043	8	1
1044	103	1
1045	73	1
1046	52	1
1047	65	1
1048	21	1
1049	31	1
1050	23	1
1051	31	1
1052	74	1
1053	21	1
1054	31	1
1055	4	1
1056	6	1
1057	69	1
1058	25	1
1059	6	1
1060	65	1
1061	49	1
1062	12	1
1063	83	1
1064	26	1
1065	102	1
1066	12	1
1067	65	1
1068	43	1
1069	23	1
1070	74	1
1071	12	1
1072	40	1
1073	52	1
1074	40	1
1075	40	1
1076	32	1
1077	12	1
1078	16	1
1079	60	1
1080	7	1
1081	9	1
1082	9	1
1083	40	1
1084	23	1
1085	52	1
1086	79	1
1087	12	1
1088	19	1
1089	7	1
1090	18	1
1091	34	1
1092	19	1
1093	32	1
1094	40	1
1095	6	1
1096	13	1
1097	52	1
1098	85	1
1099	40	1
1100	26	1
1101	60	1
1102	79	1
1103	4	1
1104	14	1
1105	24	1
1106	12	1
1107	44	1
1108	68	1
1109	44	1
1110	4	1
1111	19	1
1112	4	1
1113	4	1
1114	19	1
1115	6	1
1116	4	1
1117	12	1
1118	65	1
1119	85	1
1120	116	1
1121	6	1
1122	61	1
1123	74	1
1124	6	1
1125	2	1
1126	84	1
1127	68	1
1128	40	1
1129	34	1
1130	1	1
1131	1	1
1132	9	1
1133	34	1
1134	74	1
1135	2	1
1136	79	1
1137	18	1
1138	27	1
1139	41	1
1140	40	1
1141	70	1
1142	88	1
1143	115	1
1144	65	1
1145	62	1
1146	88	1
1147	40	1
1148	97	1
1149	35	1
1150	117	1
1151	114	1
1152	73	1
1153	4	1
1154	74	1
1155	66	1
1156	37	1
1157	93	1
1158	40	1
1159	13	1
1160	106	1
1161	81	1
1162	34	1
1163	49	1
1164	122	1
1165	84	1
1166	46	1
1167	83	1
1168	81	1
1169	50	1
1170	19	1
1171	66	1
1172	13	1
1173	103	1
1174	125	1
1175	84	1
1176	1	1
1177	114	1
1178	26	1
1179	102	1
1180	17	1
1181	55	1
1182	77	1
1183	127	1
1184	39	1
1185	78	1
1186	103	1
1187	56	1
1188	39	1
1189	35	1
